"text";"created";"screenName"
"E nesse momento em que vemos como o futebol do Rio está na UTI rival se contentando em empatar com o finalista do M… https://t.co/pwTa1koCcn";2019-12-17 23:54:32;"mjv2graciano"
"@Juniorsaintz_ @FlaNacao_1895 @no_travessao Cr7 se ir pra um time mais fraco, o futebol dele acaba";2019-12-17 23:54:26;"brayanmnunes"
"Que IRADO a Grazi no sorteio! Sensacional <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> futebol feminino agradece";2019-12-17 23:54:22;"bibianabolson"
"@mister_ofc @gualincrf @RestritoAdriano @futebol_info Efeito serie A2 rumo a serie A3 de adidas com alegria e cheio de soberba.<U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602><U+0001F602>";2019-12-17 23:54:21;"Nanda_Nazare"
"Ou você não entende nada de futebol, o que é possível.... https://t.co/XwuA57efdI";2019-12-17 23:54:12;"Alfe_barros"
"Essa chuva fudeu meu futebol emm, merda";2019-12-17 23:54:09;"leorcSPFC"
"Tá mlc se o meu boy falar que vai pro futebol c os amigos, ele vai sim, não virei presídio p ficar prendendo ngm! https://t.co/kP6W7BR4zL";2019-12-17 23:54:08;"Macedo_pcrl"
"Ao vivo e de graça: sorteio da Libertadores e da Sul-Americana 2020 https://t.co/CIjeLtq2HG";2019-12-17 23:54:06;"LucianoDuarteP5"
"@Kaiquee_BH @crfnatthan @Rafaa_crf0 @mulamboCRF2 @futebol_info Mas ser escurraçado de uma semifinal de libertadores… https://t.co/uJn6utKO7k";2019-12-17 23:54:03;"Tiiago_tts"
"@DanielPedroso09 @CentralFoxBR Landim falou isso no Expediente Futebol";2019-12-17 23:53:55;"RodrigoBuenoFOX"
"É por isso que  não treina time Grande, conhece muito pouco de futebol.. https://t.co/WZjDTYKAR8";2019-12-17 23:53:53;"Joaquim_Kinkas"
"@RCaio03 @Flamengo @crisandujar Se deus estiver preocupado com futebol ao invés de cuidar de crianças com fome e do… https://t.co/t0wcWbv1AT";2019-12-17 23:53:52;"jcd_lucas"
